sim_t,benign_or_median,target_ctr,target_or_white,target_B,out_attacker,out_benign,out_other,n_out
6.0,0.6666666666666666,1.0,1.0,8,1,0,0,1
92.4,0.4,0.4166666666666667,0.38461538461538464,5,5,2,5,12
126.0,0.4,0.3333333333333333,0.3333333333333333,3,4,3,5,12
278.6,0.38461538461538464,0.3333333333333333,0.2777777777777778,1,4,4,4,12
451.2,0.38461538461538464,0.25,0.2631578947368421,1,3,4,5,12
515.5,0.38461538461538464,0.25,0.23809523809523808,0,3,4,5,12
638.4,0.38461538461538464,0.3333333333333333,0.2727272727272727,0,4,3,5,12
702.7,0.38461538461538464,0.25,0.2916666666666667,0,3,3,6,12
825.6,0.38461538461538464,0.25,0.32,0,3,3,6,12
889.9,0.38461538461538464,0.25,0.32,0,3,4,5,12
1012.8,0.38461538461538464,0.25,0.32,0,3,4,5,12
1077.1,0.38461538461538464,0.25,0.32,0,3,3,6,12
1200.3,0.38461538461538464,0.25,0.32,0,3,3,6,12
1324.6,0.38461538461538464,0.25,0.32,0,3,3,6,12
1457.8,0.38461538461538464,0.3333333333333333,0.32,0,4,2,6,12
1532.4,0.38461538461538464,0.3333333333333333,0.32,0,4,2,6,12
1665.6,0.38461538461538464,0.3333333333333333,0.32,0,4,2,6,12
1740.2,0.38461538461538464,0.3333333333333333,0.32,0,4,2,6,12
1873.4,0.38461538461538464,0.3333333333333333,0.32,0,4,2,6,12
1948.0,0.38461538461538464,0.3333333333333333,0.32,0,4,2,6,12
2081.2,0.38461538461538464,0.3333333333333333,0.32,0,4,2,6,12
2155.8,0.38461538461538464,0.4166666666666667,0.32,0,5,2,5,12
2289.0,0.38461538461538464,0.4166666666666667,0.32,0,5,2,5,12
2363.6,0.38461538461538464,0.4166666666666667,0.32,0,5,2,5,12
2496.8,0.38461538461538464,0.4166666666666667,0.32,0,5,2,5,12
2571.5,0.38461538461538464,0.3333333333333333,0.32,0,4,2,6,12
