sim_t,benign_or_median,target_ctr,target_or_white,target_B,out_attacker,out_benign,out_other,n_out
1485.4,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1517.8,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1550.2,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1582.6,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1615.0,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1647.4,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1679.8,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1712.2,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1744.6,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1777.0,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1809.4,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1841.8,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1874.2,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1906.6,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1939.0,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1971.4,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
2003.8,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
2036.2,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
2068.6,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
2101.0,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,4,3,12
2133.4,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,4,3,12
2165.8,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,4,3,12
2198.2,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
2230.6,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
2263.0,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
2295.4,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2327.8,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2360.2,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2392.6,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2425.0,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2457.4,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2489.8,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2522.2,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2554.6,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2587.0,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
2619.4,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
2651.8,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
2684.2,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
2716.6,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2749.0,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2781.4,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2813.8,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2846.2,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2878.6,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2911.0,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2943.4,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
2975.8,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3008.2,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3040.6,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3073.0,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3105.4,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3137.8,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3170.2,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3202.6,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,4,3,12
3235.0,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,4,3,12
3267.4,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,4,3,12
3299.8,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3332.2,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3364.6,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3397.0,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3429.4,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3461.8,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3494.2,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3526.6,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3559.0,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
3591.4,0.5294117647058824,0.4166666666666667,0.5142857142857142,0,5,3,4,12
